Enumeration value,Description
{9ABE8DF3-0052-42DB-8B18-2089E1D1D1B7},Aggregate Component
{32711D35-7D9D-44E5-B57E-A17D33D5C38C},Audit Component
{A236DD44-4409-433E-A1CE-283DA18F4E0F},Cache Transform Component
{DEC33219-BA68-4FEB-AC98-9C1B1E577A8D},Character Map Component
{3AE878C6-0D6C-4F48-8128-40E00E9C1B7D},Conditional Split Component
{98F16A65-E02F-4B0F-87D4-C217EA074619},Copy Column Component
{BD06A22E-BC69-4AF7-A69B-C44C2EF684BB},Data Conversion Component
{9C58B013-AF30-455F-B809-50F425AFBCAC},Data Mining Query Component
{2932025B-AB99-40F6-B5B8-783A73F80E24},Derived Column Component
{86151302-DCDB-49FB-92FE-772EC02712B6},Export Column Component
{0A1BDBA0-9C6E-4AD7-97B1-E0E79E462629},Fuzzy Grouping Component
{5056651F-F227-4978-94DF-53CDF9E8CCB6},Fuzzy Lookup Component
{C8AEEE54-67A0-41A8-821D-D1C8BED62C68},Import Column Component
{27648839-180F-45E6-838D-AFF53DF682D2},Lookup Component
{D3FC84FA-748F-40B4-A967-F1574F917BE5},Merge Component
{A18A4D58-7C7A-4448-8B98-AE2CEFE81B4C},MergeJoin Component
{1ACA4459-ACE0-496F-814A-8611F9C27E23},Multicast Component
{8E61C8F6-C91D-43B6-97EB-3423C06571CC},OLE DB Command Component
{CEFEB125-5BB5-4F91-A349-94B8961C641B},Percentage Sampling Component
{DD5A6456-8430-422B-9F50-7EF5A1B63CA8},Pivot Component
{150E6007-7C6A-4CC3-8FF3-FC73783A972E},RowCount Component
{A44C46A3-0A3F-454B-B3BD-0BC23D4BCE94},Row Sampling Component
{2E42D45B-F83C-400F-8D77-61DDE6A7DF29},Script Type Component
{70909A92-ECE9-486D-B17E-30EDE908849E},Slowly Changing Dimension Component
{07127A7C-164B-422A-AD1F-24BE39B4DB38},Sort Component
{119D450D-E2A3-4DB0-A7BC-ACDE2536673E},Term Extraction Component
{4CC3A325-9885-48B4-B451-147C2D523646},Term Lookup Component
{4D9F9B7C-84D9-4335-ADB0-2542A7E35422},Union All Component
{8F25687E-2ACA-4EF3-88A3-53099FDAAF43},Unpivot Component
{C9269E28-EBDE-4DED-91EB-0BF42842F9F4},Excel Destination Component
{D658C424-8CF0-441C-B3C4-955E183B7FBA},Flat File Destination Component
{5A0B62E8-D91D-49F5-94A5-7BE58DE508F0},OLE DB Destination Component
{0183D6BA-8792-4602-A6AB-6DF19E7F9979},Data Mining Model Training Destination Component
{7D1B6DD6-C1A9-416E-9E7F-31400E3F7249},Dimension Processing Destination Component
{DCDA2491-C4A4-4C84-9253-119AEF1A4CD7},Partition Processing Destination Component
{485E7329-8754-42B4-AA5B-29C5DA09CAD5},Raw File Destination Component
{167AF7E9-BA81-425F-B73D-E30C2DCC0F09},RecordSet Destination Component
{E4B61516-847B-4BDF-9CC6-1968A2D43E73},SQL Server Destination Component
{A4B1E1C8-17F3-46C8-AAD0-34F0C6FE42DE},Excel Source Component
{5ACD952A-F16A-41D8-A681-713640837664},Flat File Source Component
{BCEFE59B-6819-47F7-A125-63753B33ABB7},OLE DB Source Component
{51DC0B24-7421-45C3-B4AB-9481A683D91D},Raw File Source Component
